episode_id,scenario,has_incident,had_leak,onset,base_alarm_t,base_detected,base_lead,base_false_alarm,base_alarm_minutes,model_alarm_t,model_detected,model_lead,model_false_alarm,model_alarm_minutes,model_peak_proba
0,compound_hidden,False,1,-1,100.0,False,,True,3,94.0,False,,True,8,0.9931991733826919
1,normal,False,0,-1,,False,,False,0,,False,,False,0,0.49029826655251685
2,gas_leak_visible,False,1,-1,82.0,False,,True,1,,False,,False,0,0.7767026617505703
3,normal,False,0,-1,17.0,False,,True,1,,False,,False,0,0.32076900056188584
4,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.20823250939028246
5,maintenance_no_leak,False,0,-1,198.0,False,,True,2,52.0,False,,True,1,0.9541441803382609
6,maintenance_no_leak,False,0,-1,,False,,False,0,,False,,False,0,0.895786902014573
7,compound_hidden,True,1,78,76.0,True,2.0,False,29,71.0,True,7.0,False,24,0.9950642735957644
8,compound_hidden,True,1,63,62.0,True,1.0,False,64,53.0,True,10.0,False,54,0.9955631928579465
9,normal,False,0,-1,32.0,False,,True,2,,False,,False,0,0.3378381277135734
10,compound_hidden,True,1,149,147.0,True,2.0,False,63,138.0,True,11.0,False,51,0.9914483540374543
11,maintenance_no_leak,False,0,-1,,False,,False,0,,False,,False,0,0.8203323070968385
12,normal,False,0,-1,180.0,False,,True,2,,False,,False,0,0.6560209601790722
13,normal,False,0,-1,232.0,False,,True,2,,False,,False,0,0.1705280103286096
14,normal,False,0,-1,23.0,False,,True,6,,False,,False,0,0.4747356059065368
15,compound_hidden,False,1,-1,148.0,False,,True,4,63.0,False,,True,6,0.9852620726411706
16,normal,False,0,-1,0.0,False,,True,4,,False,,False,0,0.527823187838781
17,compound_hidden,True,1,61,9.0,True,52.0,False,11,49.0,True,12.0,False,17,0.9934628349013823
18,normal,False,0,-1,223.0,False,,True,2,,False,,False,0,0.22821824819124167
19,normal,False,0,-1,,False,,False,0,,False,,False,0,0.23419256402524607
20,normal,False,0,-1,,False,,False,0,,False,,False,0,0.33552523368807974
21,maintenance_no_leak,False,0,-1,,False,,False,0,,False,,False,0,0.90481861703983
22,compound_hidden,False,1,-1,81.0,False,,True,13,77.0,False,,True,12,0.9852588678015594
23,compound_hidden,True,1,122,119.0,True,3.0,False,12,110.0,True,12.0,False,20,0.9925285399239956
24,compound_hidden,False,1,-1,32.0,False,,True,2,,False,,False,0,0.896869107588729
25,normal,False,0,-1,,False,,False,0,,False,,False,0,0.20940036768816114
26,normal,False,0,-1,,False,,False,0,,False,,False,0,0.4410946597864892
27,compound_hidden,False,1,-1,92.0,False,,True,4,,False,,False,0,0.9455786335915467
28,compound_hidden,True,1,193,179.0,True,14.0,False,28,178.0,True,15.0,False,10,0.9693066016290484
29,gas_leak_visible,False,1,-1,99.0,False,,True,50,129.0,False,,True,9,0.9733077640413897
30,gas_leak_visible,False,1,-1,126.0,False,,True,12,,False,,False,0,0.8518171511703438
31,gas_leak_visible,False,1,-1,143.0,False,,True,24,156.0,False,,True,2,0.9631122908420146
32,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.6528337472593443
33,compound_hidden,True,1,101,101.0,False,,False,59,93.0,True,8.0,False,54,0.9951450124777586
34,compound_hidden,True,1,118,118.0,False,,False,40,109.0,True,9.0,False,37,0.9952658288556583
35,compound_hidden,True,1,99,98.0,True,1.0,False,27,84.0,True,15.0,False,33,0.9941360661773815
36,maintenance_no_leak,False,0,-1,,False,,False,0,134.0,False,,True,2,0.9821203488656434
37,maintenance_no_leak,False,0,-1,33.0,False,,True,4,,False,,False,0,0.8661852888154505
